Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Morocco,MAR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1.87145877414529,1.61676234508113,..,..,..,..,..,..,..,..
Morocco,MAR,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,7.26060109412062,7.15158106588916,..,..,..,..,..,..,..,..
Morocco,MAR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,5.34194199971144,6.69310512766994,8.19273199221285,..,..,..,..,..,..,..
Morocco,MAR,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,90.2455849447978,90.72183409217,..,..,..,..,..,..,..,..
Morocco,MAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,554.49302671878,554.226022007379,..,..,..,..,..,..,..,..
Morocco,MAR,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,2350.547,2247.871,2324.878,2365.215,..,..,..,..,..,..
Morocco,MAR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,14.6479584475545,12.3878104779795,14.3088903309539,..,..,..,..,..,..,..
Morocco,MAR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,11.59,11.14,11.25,11.06,10.45,10.9,10.69,..,..,..
Morocco,MAR,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,1438000000,2621580000,1900000000,..,220000000,261860000,25800000,1038770000,..,..
Morocco,MAR,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,1438000000,2621580000,1900000000,..,220000000,261860000,25800000,1038770000,..,..
Morocco,MAR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.14616379903882,2.95924132986015,2.94609660128252,1.93001012545147,2.26092242775974,2.78337877531639,1.33480122674375,1.16912639802277,1.50549107029304,..
Morocco,MAR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,78042.91,79238.8,81462.89,80263.86,84987.49,86812.01,93084.13,..,..,..
Morocco,MAR,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,5.08976827634441,4.96009801748258,0.207676518083811,5.23996578475283,..,..,..,..,..,..
Morocco,MAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,26.1685021989636,25.8132675090419,25.6226817262287,25.685104578574,25.405454806575,25.2413538068182,25.2499524130611,26.0448673616107,26.0809840564294,..
