Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
South Africa,ZAF,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,24.4280338172879,24.428033817512,24.4280338173866,24.4280326989921,24.4280338172044,24.4280338176361,24.4280338173674,24.4280338176637,..,..
South Africa,ZAF,Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,3876979685600,3936504500000,3981757665100,4014645565800,4061243195900,4125572963884.09,4135424631191.21,3891061231940.01,4074102927844.76,..
South Africa,ZAF,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,6.11153096342063,4.66573419871465,2.80794769347075,3.56159906611897,3.8355856656622,3.86949148830953,4.18782227881945,4.01777511009808,7.32857859192335,..
South Africa,ZAF,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,0.0312421227606922,0.0255744432147647,0.0232937993610495,0.015336308509032,0.012735718818607,0.0227641504019782,0.0251931123610767,0.020767257947969,0.0293827523467257,..
South Africa,ZAF,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,3.70364564279396,2.70807834805164,1.26249484458402,1.67131452614256,1.79546169620215,1.94059715513746,2.04971783015156,2.1232302238428,4.39467992212987,..
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0,0,0,..,..,..,..,..,..,..
South Africa,ZAF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,831.575886794011,818.570574423313,801.768127798403,794.01266244604,790.943569018804,781.309472932641,771.256177473621,761.879793497244,..,..
South Africa,ZAF,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,
